Ãå ½ç,ÏÈ ÈÖ,ÇÏ ÈÖ,ÇÏÌ¾,À­Îð,¶ÔÎÌ,µ³¼ê,¥¿¥¤¥à,Ãåº¹,Ã±¾¡,¿Í µ¤,ÇÏÂÎ½Å,Ä´¶µ»Õ
2,1,1,¥«¥ê¥Ö¥á¡¼¥«¡¼,ÌÆ4,54.0,ÉÙÅÄ¶Ç,1:46.9,1.1/4,14.9,7.0,510(-2),[À¾] ²ÏÆâÍÎ
3,4,5,¥Ø¥¤¥»¥¤¥é¥¹¥È,ÌÆ3,52.0,Æ£²¬¹¯ÂÀ,1:47.1,1,18.4,9.0,514(-2),[À¾] ±©·îÍ§É§
4,6,10,¥ï¥ó¥À¡¼¥¨¥«¥ë¥Æ,ÌÆ3,52.0,Ä¹²¬Ä÷¿Î,1:47.1,¥¯¥Ó,12.0,5.0,508(0),[À¾] ÀÐ¶¶¼é
5,6,9,¥Ë¥·¥Î¥¢¥á¥¤¥º,ÌÆ3,49.0,¿û¸¶ÌÀÎÉ,1:47.3,1.1/4,16.3,8.0,498(+4),[Åì] ¾¾»³¾­¼ù
6,5,7,¥é¥¤¥ó¥¢¥¹¥È¥ê¥¢,ÌÆ4,55.0,¸ÅÀîµÈÍÎ,1:47.4,1/2,99.7,14.0,478(0),[Åì] ¿åÌîµ®¹­
7,3,3,¥Æ¥£¥Ü¥ê¥É¥é¥¤¥ô,ÌÆ3,52.0,É©ÅÄÍµÆó,1:47.4,¥¢¥¿¥Þ,36.6,12.0,472(+8),[À¾] ÀÐºä¸ø°ì
8,2,2,¥¿¥Ä¥ª¥¦¥«¥é¥ó¥Ö,ÌÆ4,55.0,Ã°ÆâÍ´¼¡,1:47.5,1/2,42.5,13.0,490(0),[Åì] ¸Å²ì»ËÀ¸
9,8,14,¥¯¥ê¥Î¥¢¥¹¥³¥Ã¥È,ÌÆ4,52.0,ÃÄÌîÂçÀ®,1:48.5,6,8.5,4.0,430(-6),[À¾] ÅÏÊÕ·°É§
10,8,13,¥Ó¥ª¥ì¥¤¥á¥ë,ÌÆ3,50.0,À¾Â¼½ßÌé,1:48.6,¥¯¥Ó,14.8,6.0,468(+12),[À¾] ËÜÅÄÍ¥
11,4,6,¥µ¥Ô¥¢¥¦¥©¡¼¥Õ,ÌÆ3,51.0,²£»³Éð»Ë,1:49.5,5,3.8,1.0,480(+10),[Åì] ºØÆ£À¿
12,7,11,¥×¥ê¥Ç¥£¥«¥á¥ó¥È,ÌÆ4,55.0,µÈÅÄÈ»¿Í,1:49.9,2.1/2,6.2,3.0,510(+16),[À¾] µÈÂ¼·½»Ê
13,7,12,¥ß¥Ã¥­¡¼¥Þ¥ó¥É¥ê¥ó,ÌÆ4,54.0,ÉðÆ£²í,1:51.2,8,21.1,11.0,466(-6),[Åì] Çë¸¶À¶
14,3,4,¥­¥¿¥Î¥ª¥É¥ê¥³,ÌÆ3,52.0,ÀÐÀîÍµµª,1:51.5,2,19.3,10.0,492(+14),[Åì] ÁêÂô°ê
1,8,15,¥¢¥¹¥¿¡¼¥ë¥Ó¡¼,ÌÆ3,52.0,¸ÅÀîµÈÍÎ,1:09.2,,3.5,1.0,434(+24),[À¾] Æî°æ¹îÌ¦
2,1,1,¥Ç¥ë¥Þ¥­¥»¥­,ÌÆ4,55.0,²®ÌîÂö¿¿,1:09.4,1.1/4,14.1,6.0,464(+2),[À¾] Í§Æ»¹¯É×
3,6,12,¥â¥Ï¡¼,ÌÆ5,55.0,»Í°ÌÍÎÊ¸,1:09.5,1/2,6.7,3.0,494(+2),[À¾] ¾åÂ¼ÍÎ¹Ô
4,7,14,¥Ê¥ó¥´¥¯¥¢¥¤¥Í¥Ã¥È,ÌÆ4,55.0,µÈÅÄÈ»¿Í,1:09.5,¥Ï¥Ê,19.0,8.0,474(+14),[À¾] »­Åç°ìÊâ
5,7,13,¥·¥ç¥¦¥Ê¥ó¥¢¥ê¥¢¥Ê,ÌÆ3,52.0,ÃÓÅº¸¬°ì,1:09.6,1/2,15.5,7.0,412(+4),[À¾] ¹âÌîÍ§ÏÂ
6,2,3,¥¨¥¤¥«¥¤¥Þ¥É¥ó¥Ê,ÌÆ4,55.0,Æ£²¬Í¤²ð,1:09.6,¥¯¥Ó,27.9,10.0,438(-2),[À¾] Æ£¸¶±Ñ¾¼
7,6,11,¥ä¥Þ¥Ë¥ó¥Ù¥ë¥Ù¡¼¥Ì,ÌÆ5,55.0,²£»³ÏÂÀ¸,1:09.8,1.1/4,38.2,11.0,466(+4),[Åì] ÃæÀî¸øÀ®
8,1,2,¥ï¥ó¥Í¥¹,²´3,51.0,¿û¸¶ÌÀÎÉ,1:10.0,1.1/4,104.3,15.0,528(-4),[Åì] ÂçÃÝÀµÇî
9,8,16,¥¹¥ê¡¼¥Þ¥°¥Ê¥à,²´4,57.0,²®Ìî¶Ë,1:10.1,¥¯¥Ó,57.5,13.0,510(+14),[Åì] ÅÄÃæ¹ä
10,3,6,¥Ø¡¼¥¶,ÌÆ4,53.0,À¾Â¼½ßÌé,1:10.2,1/2,19.6,9.0,432(-2),[À¾] ¹âÌøÂçÊå
11,4,8,¥í¥¸¥à¡¼¥ó,²´5,56.0,²£»³Éð»Ë,1:10.2,¥¯¥Ó,9.4,5.0,466(-4),[Åì] Çë¸¶À¶
12,5,10,¥Ò¥í¥Î¥ª¥¦¥«¥ó,²´4,56.0,ºä°æÎÜÀ±,1:10.4,1,225.2,16.0,446(-4),[Åì] éâÌ¾Íø¹°
13,3,5,¥¤¥Ã¥Ä¥Þ¥¤¥¿¡¼¥ó,²´4,57.0,Âã¹°¿Í,1:10.4,¥Ï¥Ê,42.6,12.0,514(0),[Åì] Å·´Ö¾¼°ì
14,2,4,¥¢¥Þ¥Ç¥¦¥¹,²´3,51.0,µµÅÄ²¹¿´,1:10.4,¥Ï¥Ê,6.7,4.0,454(0),[Åì] µ×ÊÝÅÄµ®
15,4,7,¥â¥º¥Ù¥¤¥Ó¡¼,²´3,54.0,Æ£²¬¹¯ÂÀ,1:10.6,1.1/2,5.1,2.0,512(+10),[À¾] ËÒ±º½¼ÆÁ
16,5,9,¥ì¥¸¥§¥ó¥É¥½¥¦¥ë,²´4,57.0,Ã°ÆâÍ´¼¡,1:10.7,¥¯¥Ó,58.7,14.0,458(0),[Åì] ÌðÌî±Ñ°ì
1,6,7,¥ì¡¼¥¬¥Î¥ß¥¯¥¹,²´4,57.0,Æ£²¬Í¤²ð,1:49.4,,3.5,1.0,514(+2),[À¾] ÃÓÅº³Ø
2,4,4,¥µ¥È¥Î¥Þ¥Ã¥¯¥¹,²´5,57.0,Æ£²¬¹¯ÂÀ,1:49.5,3/4,5.3,4.0,488(-4),[Åì] ËÙÀë¹Ô
3,8,12,¥¿¡¼¥Õ¥§¥ë¥à¥¸¡¼¥¯,ÌÆ4,55.0,¸ÅÀîµÈÍÎ,1:49.5,¥Ï¥Ê,53.5,10.0,440(-4),[À¾] ÅÏÊÕ·°É§
4,5,5,¥®¥ã¥ó¥Ö¥é¡¼,²´4,57.0,²£»³Éð»Ë,1:49.6,1/2,7.4,5.0,520(+6),[Åì] ºØÆ£À¿
5,5,6,¥¯¥ê¥Î¥ª¥¦¥¸¥ã,²´3,54.0,À¾Â¼½ßÌé,1:49.8,1.1/4,5.2,3.0,438(0),[À¾] ¹â¶¶µÁÃé
6,7,10,¥é¥¹¥È¥×¥é¥¤¥É¥ï¥ó,²´5,57.0,¼Æ»³Íº°ì,1:49.9,3/4,62.7,12.0,476(+6),[Åì] ±üÂ¼Éð
7,1,1,¥Ç¥£¡¼¥×¥¹¥Ô¥ê¥Ã¥Ä,²´5,57.0,Ã°ÆâÍ´¼¡,1:49.9,¥¯¥Ó,35.7,8.0,456(-10),[À¾] ±©·îÍ§É§
8,8,11,¥é¥Ö¥ê¥í¥ó¥ê¥í¥ó¥¹,²´3,54.0,ÉÙÅÄ¶Ç,1:50.2,1.1/2,36.7,9.0,430(-2),[À¾] ¾¾±Ê¾»Çî
9,3,3,¥¹¥Þ¡¼¥È¥»¥é¥ô¥£¡¼,²´3,54.0,ºä°æÎÜÀ±,1:50.2,¥¯¥Ó,4.9,2.0,502(-10),[À¾] ÌðºîË§¿Í
10,7,9,¥í¡¼¥É¥À¥ô¥£¥ó¥Á,²´4,57.0,²®Ìî¶Ë,1:50.4,1,13.3,6.0,528(+2),[À¾] Æ£¸¶±Ñ¾¼
11,2,2,¥×¥ê¥á¥é¥Ó¥¹¥¿,ÌÆ4,55.0,ÃÓÅº¸¬°ì,1:51.2,5,13.7,7.0,426(-2),[Åì] ÅÄÃæÇî¹¯
12,6,8,¥·¥ë¥ô¥¡¡¼¥á¥Æ¥ª,²´5,57.0,Âã¹°¿Í,1:52.0,5,57.9,11.0,500(+24),[Åì] ÀÐ·ªÎ¶É§
1,3,5,¥·¥ç¥¦¥Ê¥ó¥¿¥¤¥¬,²´3,53.0,ÃÓÅº¸¬°ì,1:09.5,,3.6,1.0,476(+4),[À¾] ÃÓÅº·óÍº
2,2,3,¥¤¥­¥ª¥¤,²´7,54.0,Ã°ÆâÍ´¼¡,1:09.7,1,34.3,10.0,454(-8),[Åì] ¿ù±º¹¨¾¼
3,2,2,¥»¥ó¥·¥ç¥¦¥æ¥¦¥È,²´4,54.0,Æ£²¬Í¤²ð,1:09.7,¥¯¥Ó,8.3,5.0,478(-8),[À¾] ºûÅÄÏÂ½¨
4,4,6,¥·¥ó¥Ç¥ì¥é¥á¥¤¥¯,ÌÆ4,53.0,É©ÅÄÍµÆó,1:09.9,1.1/4,4.0,2.0,490(+2),[À¾] »­Åç°ìÊâ
5,4,7,¥¸¥§¥Ã¥È¥³¥ë¥µ,²´7,54.0,°ËÆ£¹©¿¿,1:09.9,¥¯¥Ó,21.6,9.0,474(+2),[Åì] ¶âÀ®µ®»Ë
6,7,13,¥ë¥Þ¡¼¥«¡¼¥Ö¥ë,²´3,52.0,¾¡±ºÀµ¼ù,1:10.0,1/2,8.0,4.0,516(-4),[Åì] ÆîÅÄÈþÃÎ
7,5,8,¥¿¥¤¥»¥¤¥½¥Ë¥Ã¥¯,²´4,54.0,Æ£²¬¹¯ÂÀ,1:10.1,1/2,9.4,6.0,462(0),[À¾] À¾Â¼¿¿¹¬
8,6,11,¥·¥å¥¨¥Ã¥È¥Ì¡¼¥Ù¥ë,ÌÆ5,52.0,À¾Â¼½ßÌé,1:10.1,¥¯¥Ó,16.8,7.0,452(-10),[À¾] ±©·îÍ§É§
9,7,12,¥­¥ó¥°¥­¥ó¥°¥­¥ó¥°,¥»4,54.0,ÀÐÀîÍµµª,1:10.2,3/4,17.2,8.0,484(+2),[Åì] ¹ñ»Þ±É
10,5,9,¥â¥ó¥Õ¥¡¥í¥ó,²´4,53.0,¸ÅÀîµÈÍÎ,1:10.3,¥¯¥Ó,40.3,11.0,470(+4),[À¾] ¹â¶¶µÁÃé
11,6,10,¥é¥Ö¥í¡¼¥ì¥ë,ÌÆ7,51.0,Âã¹°¿Í,1:10.3,¥¯¥Ó,94.5,12.0,430(0),[À¾] ¿¹ÅÄÄ¾¹Ô
12,8,15,¥¹¥º¥«¥×¥ê¥ª¡¼¥ë,²´8,52.0,Ä¹²¬Ä÷¿Î,1:10.4,1/2,151.6,15.0,504(+4),[Åì] ÊÁºê¹§
13,8,14,¥é¥Ë¥«¥¤¥·¥Á¡¼,²´5,51.0,ºä°æÎÜÀ±,1:10.5,¥¯¥Ó,97.9,13.0,468(-6),[Åì] ÃæÌî±É¼£
14,1,1,¥¤¥ó¥·¥å¥é¡¼,¥»5,54.0,¼Æ»³Íº°ì,1:10.8,1.3/4,7.8,3.0,456(-2),[Åì] ½¡ÁüµÁÃé
15,3,4,¥é¥¤¥ê¡¼,²´4,52.0,²®Ìî¶Ë,1:11.0,1.1/2,105.3,14.0,470(-6),[À¾] ¿¹½¨¹Ô
1,5,5,¥Ü¡¼¥É¥¦¥©¡¼¥¯,ÌÆ4,55.0,Âã¹°¿Í,1:44.5,,6.4,3.0,454(+8),[À¾] ÌðºîË§¿Í
2,6,7,¥«¥Õ¥¸¥­¥ó¥°,²´6,57.0,Æ£²¬¹¯ÂÀ,1:44.7,1.1/4,2.9,1.0,464(-10),[À¾] ÃæÃÝÏÂÌé
3,8,11,¥Æ¥¤¥¨¥à¥°¥Ã¥É¥Þ¥ó,²´5,57.0,»Í°ÌÍÎÊ¸,1:45.0,2,3.5,2.0,486(-6),[À¾] Éð±ÑÃÒ
4,4,4,¥­¥¿¥µ¥ó¥¿¥¤¥É¡¼,²´4,57.0,µÈÅÄÈ»¿Í,1:45.0,¥¯¥Ó,9.3,4.0,530(+14),[À¾] À¶¿åµ×»ì
5,2,2,¥«¥ì¥ó¥¸¥é¥½¡¼¥ì,²´6,57.0,ÉÙÅÄ¶Ç,1:45.3,2,85.8,11.0,488(-4),[À¾] Ê¿ÅÄ½¤
6,7,9,¥Ñ¥¤¥í¥­¥Í¥·¥¹¥È,²´7,57.0,Æ£²¬Í¤²ð,1:45.4,¥¯¥Ó,11.1,5.0,496(+8),[Åì] Æ£¸¶Ã¤Íº
7,1,1,¥á¥¤¥·¥ç¥¦¥¤¥Ã¥Ý¥ó,²´5,57.0,¼Æ»³Íº°ì,1:45.8,2.1/2,38.7,10.0,496(-6),[À¾] Âç¶¶Í¦¼ù
8,8,10,¥ì¥³¥ó¥­¥¹¥¿,²´5,57.0,ÉðÆ£²í,1:45.9,¥¯¥Ó,14.8,8.0,504(+14),[Åì] ºØÆ£À¿
9,3,3,¥¦¥¤¥ó¥Õ¥©¥ë¥Æ¥£¥¹,²´4,57.0,ÃÓÅº¸¬°ì,1:47.1,7,14.3,7.0,484(-2),[À¾] ²ÃÍÑÀµ
10,7,8,¥Õ¥©¥ë¥Ä¥¡¥¨¥Õ,²´4,57.0,¾¡±ºÀµ¼ù,1:47.5,2.1/2,35.2,9.0,482(+8),[À¾] ¿¹½¨¹Ô
11,6,6,¥·¥å¥Ð¥ë¥Ä¥Ü¥ó¥Ð¡¼,²´4,57.0,¾¾ÅÄÂçºî,1:47.9,2.1/2,12.4,6.0,514(-4),[À¾] ¿Ü³­¾°²ð
1,8,16,¥¨¥ó¥¸¥§¥ë¥«¥Ê,ÌÆ3,53.0,²£»³Éð»Ë,1:09.3,,4.7,2.0,422(+4),[Åì] ¹â¶¶¾ÍÂÙ
2,1,2,¥¢¥»¥ó¥À¥ó¥È,ÌÆ3,54.0,Ã°ÆâÍ´¼¡,1:09.6,2,10.7,5.0,448(+10),[Åì] ÅÄÅç½ÓÌÀ
3,7,13,¥·¥å¥ó¥«¥¸¥ç¥¦,ÌÆ3,54.0,¥ë¥á¡¼¥ë,1:09.7,3/4,8.8,4.0,436(-2),[À¾] Æ£²¬·ò°ì
4,2,3,¥Ç¥£¥Î¡¼¥é,ÌÆ3,54.0,´äÅÄ¹¯À¿,1:09.8,1/2,5.9,3.0,444(+8),[À¾] ÃæÃÝÏÂÌé
5,2,4,¥Æ¥£¥ì¥Ë¥¢,ÌÆ3,54.0,Æ£²¬Í¤²ð,1:09.9,¥¯¥Ó,2.8,1.0,448(+6),[À¾] ¹â¶¶Î¼
6,6,11,¥·¥ç¥¦¥Ê¥ó¥Ð¥Ë¥é,ÌÆ3,54.0,ËÌÂ¼Í§°ì,1:10.0,1/2,13.3,6.0,430(+14),[Åì] Éð»Ô¹¯ÃË
7,6,12,¥ì¥Ã¥É¥ë¡¼¥Ê,ÌÆ3,53.0,ÉðÆ£²í,1:10.2,1.1/2,43.0,11.0,474(+8),[Åì] ¾®ÅçÌÐÇ·
8,5,9,¥¦¥¤¥ó¥É¥Ö¥é¡¼¥Ï,ÌÆ3,54.0,µÈÅÄÈ»¿Í,1:10.4,1,28.8,9.0,442(0),[À¾] Éð¹¬»ÍÏº
9,8,15,¥µ¥ó¥¢¥¯¥í¥ó,ÌÆ3,54.0,¾¾²¬Àµ³¤,1:10.5,3/4,98.8,14.0,458(-4),[Åì] éâÌ¾Íø¹°
10,3,6,¥«¥ï¥¤¥¤¥¹¥¤¡¼¥Ñ¡¼,ÌÆ3,54.0,ÃÝÇ·²¼ÃÒ,1:10.7,1.1/2,67.1,13.0,468(+8),[Åì] ÅÄÃæ¹ä
11,7,14,¥Î¡¼¥¹¥«¥¬¥ä¥­,ÌÆ3,53.0,ºä°æÎÜÀ±,1:10.8,¥¯¥Ó,114.9,15.0,470(0),[À¾] À¾±º¾¡°ì
12,1,1,¥á¥ë¥Ø¥ó¥¹¥Æ¡¼¥¸,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,1:10.8,¥¯¥Ó,39.5,10.0,478(-8),[À¾] ±üÂ¼Ë­
13,3,5,¥í¥¸¥¿¥¤¥à,ÌÆ3,54.0,ÃÓÅº¸¬°ì,1:10.8,¥Ï¥Ê,56.3,12.0,446(-4),[Åì] ¸Å²ì¿µÌÀ
14,4,8,¥Ò¥Þ¥ï¥ê,ÌÆ3,54.0,ÀÐÀîÍµµª,1:10.9,1/2,15.9,7.0,506(+2),[Åì] °ð³À¹¬Íº
15,4,7,¥æ¥¢¥Ï¥Ô¥Í¥¹,ÌÆ3,51.0,µµÅÄ²¹¿´,1:11.0,1/2,25.6,8.0,428(-2),[À¾] ÇßÅÄÃÒÇ·
16,5,10,¥Ñ¥Ã¥·¥ç¥ó¥Õ¥é¥ï¡¼,ÌÆ3,54.0,¹ñÊ¬¶³²ð,1:11.1,3/4,298.2,16.0,388(-16),[À¾] ÅÄ½ê½¨¹§
1,2,2,¥á¥¤¥·¥ç¥¦¥á¥¤¥ê¥ó,²´3,53.0,µµÅÄ²¹¿´,0:59.5,,2.9,1.0,456(0),[À¾] À¾±àÀµÅÔ
2,5,6,¥¢¥¤¥Õ¥¡¡¼¥¢¥¯¥¿¡¼,²´3,56.0,Æ£²¬Í¤²ð,1:00.3,5,9.7,5.0,466(-4),[À¾] ºîÅÄÀ¿Æó
3,8,12,¥«¥Í¥·¥ç¥¦¥Ù¥ê¡¼,ÌÆ3,54.0,´äÅÄ¹¯À¿,1:00.5,1.1/4,5.4,3.0,434(+2),[Åì] ¸Å²ì»ËÀ¸
4,7,9,¥¸¥ã¥¹¥Ñ¡¼¥Þ¥ê¥ó,ÌÆ3,53.0,ºä°æÎÜÀ±,1:00.7,1,29.3,7.0,456(0),[À¾] ¿¹½¨¹Ô
5,8,11,¥½¥ë¥Ñ¥·¥ª¥ó,²´3,56.0,¾¾²¬Àµ³¤,1:01.4,4,6.3,4.0,478(-2),[Åì] Ãæ´Ü±ÑÆó
6,4,4,¥×¥ê¥â¥Ñ¥ó¥µ¡¼,ÌÆ3,51.0,¿û¸¶ÌÀÎÉ,1:01.7,1.3/4,18.1,6.0,452(+2),[Åì] °ËÆ£·½»°
7,6,8,¥í¡¼¥Þ¥Î¥­¥å¥¦¥¸¥Ä,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,1:01.7,¥¯¥Ó,3.0,2.0,490(0),[À¾] ËÒ±º½¼ÆÁ
8,3,3,¥é¥¤¥ó¥·¥ã¡¼¥í¥Ã¥È,ÌÆ3,53.0,ÉðÆ£²í,1:02.0,1.3/4,65.8,9.0,450(+4),[Åì] ¿åÌîµ®¹­
9,1,1,¥¶¥»¥¤¥·¥å¥ó¥º¥â¥¦,ÌÆ3,54.0,Âã¹°¿Í,1:02.0,¥¯¥Ó,121.9,10.0,432(+2),[Åì] °ËÆ£¿­°ì
10,7,10,¥»¥ì¡¼¥Í¥ï¥ë¥Ä,ÌÆ3,54.0,ÂçÌîÂóÌï,1:02.1,1/2,148.8,11.0,418(-2),[À¾] ÎëÌÚ¹§»Ö
11,6,7,¥Ç¥å¥ª¥Ó¥®¥ó,ÌÆ3,54.0,Ã°ÆâÍ´¼¡,1:03.0,5,50.9,8.0,418(+8),[Åì] ËÒ¸÷Æó
12,5,5,¥Ç¥ë¥Þ¥ª¥¤¥»¥µ¥ó,ÌÆ3,54.0,ÀîÅç¿®Æó,1:03.9,5,228.6,12.0,478(0),[Åì] ËÙ°æ²í¹­
1,2,2,¥¸¥å¥ê¥¢¥ô¥£¡¼¥Ê¥¹,ÌÆ3,53.0,²ÃÆ£¾ÍÂÀ,1:47.4,,7.9,5.0,498(0),[À¾] ÉÍÅÄÂ¿¼Â
2,7,10,¥á¥¤¥·¥ç¥¦¥ª¥È¥ï,ÌÆ3,54.0,ÃÓÅº¸¬°ì,1:47.4,¥Ï¥Ê,4.3,2.0,444(-4),[À¾] ÈÓÅÄÍ´»Ë
3,4,5,¥¹¥«¡¼¥ì¥Ã¥È¥µ¥¯¥é,ÌÆ3,54.0,ÀîÅç¿®Æó,1:47.4,¥¯¥Ó,29.7,8.0,508(+4),[À¾] µÜËÜÇî
4,6,8,¥Ó¥±¥Ã¥È,ÌÆ3,54.0,²®Ìî¶Ë,1:47.5,1/2,55.7,10.0,434(+2),[À¾] ¹âÌøÂçÊå
5,5,6,¥Ô¥ó¥¯¥­¥ã¥ó¥Ç¥£¡¼,ÌÆ3,54.0,´äÅÄ¹¯À¿,1:47.6,1/2,7.9,6.0,482(+2),[À¾] ÀÐºä¸ø°ì
6,6,9,¥À¥¤¥ä¡¼¥º¥Ö¥ë¡¼¥à,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,1:47.9,1.3/4,2.8,1.0,470(+4),[À¾] ±©·îÍ§É§
7,7,11,¥â¡¼¥ó¥¹¥È¥ë¥à,ÌÆ3,54.0,Ã°ÆâÍ´¼¡,1:48.0,3/4,26.4,7.0,434(+6),[Åì] ¹â¶¶¾ÍÂÙ
8,3,3,¥Æ¥¤¥¨¥à¥á¥í¥Ç¥£¡¼,ÌÆ3,53.0,ÉÙÅÄ¶Ç,1:48.1,¥¯¥Ó,7.5,4.0,454(+4),[À¾] ÌÚ¸¶°ìÎÉ
9,1,1,¥Ö¥é¥¤¥È¥¢¥¯¥È¥ì¥¹,ÌÆ3,54.0,ÉðË­,1:48.5,2.1/2,7.5,3.0,492(-4),[Åì] ¼¯¸ÍÍº°ì
10,5,7,¥µ¥¦¥ó¥É¥¦¥¤¥ó¥°,ÌÆ3,53.0,²£»³Éð»Ë,1:49.1,3.1/2,77.3,11.0,424(+2),[À¾] µÈÅÄÄ¾¹°
11,8,12,¥»¥¯¥·¥ª¥ó¥É¡¼¥ë,ÌÆ3,54.0,ÂçÌîÂóÌï,1:49.5,2.1/2,37.7,9.0,470(-12),[Åì] ÏÂÅÄÍ¦²ð
12,4,4,¥¸¥å¥ë¥Ó¥¢¥ó,ÌÆ3,54.0,¾¡±ºÀµ¼ù,1:50.6,7,79.7,13.0,474(0),[À¾] ÌîÃæ¸­Æó
13,8,13,¥Ú¥Í¥È¥ì¡¼¥¿¡¼,ÌÆ3,54.0,¾¾ÅÄÂçºî,1:50.8,1.1/4,79.1,12.0,472(+4),[À¾] ¹â¶¶¹¯Ç·
1,3,6,¥À¥ó¥¹¥í¥Þ¥Í¥¹¥¯,ÌÆ3,53.0,ÉðÆ£²í,1:48.3,,16.2,6.0,462(+2),[Åì] ¸ÍÅÄÇîÊ¸
2,4,8,¥Ð¥¤¥­¥ó¥°¥¯¥é¥Ã¥×,²´3,56.0,¥ë¥á¡¼¥ë,1:48.6,1.3/4,3.1,1.0,508(-4),[Åì] ËÙÀë¹Ô
3,2,4,¥¯¥ê¥Ã¥Ñ¡¼¥¯¥é¥¹,ÌÆ3,54.0,ÀÐÀîÍµµª,1:48.7,1/2,3.3,2.0,458(+20),[Åì] Éð»Ô¹¯ÃË
4,8,16,¥Ó¥Ã¥°¥Ð¥¸¥§¥Ã¥È,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,1:48.9,1.1/4,5.6,3.0,458(+4),[À¾] ËÒÅÄÏÂÌï
5,6,12,¥ì¥Ã¥É¥¢¥¯¥È¥ì¥¹,ÌÆ3,54.0,²®Ìî¶Ë,1:49.1,1.1/2,8.5,5.0,426(-4),[À¾] Æ£¸¶±Ñ¾¼
6,5,9,¥²¥Ã¥È¥ê¥º¥à,²´3,56.0,¼Æ»³Íº°ì,1:49.2,1/2,7.7,4.0,500(+2),[Åì] ÎÓÅ°
7,3,5,¥­¥å¥í¥ó,²´3,56.0,¹ñÊ¬¶³²ð,1:49.2,¥¯¥Ó,16.8,7.0,470(0),[À¾] ÃæÃÝÏÂÌé
8,7,13,¥é¥­¥¨¥¹¥È¥Ð¥¤¥ª,ÌÆ3,51.0,ÃÄÌîÂçÀ®,1:49.3,3/4,58.5,9.0,442(-2),[À¾] ÅÏÊÕ·°É§
9,5,10,¥×¥í¡¼¥¹,²´3,56.0,ÂçÌîÂóÌï,1:49.4,3/4,36.5,8.0,476(+6),[Åì] ¹âÌÚÅÐ
10,1,1,¥´¡¼¥ë¥É¥¨¥¯¥»¥ë,ÌÆ3,54.0,¾¾²¬Àµ³¤,1:49.7,2,65.9,10.0,428(+2),[Åì] ¿¼»³²í»Ë
11,7,14,¥Ç¥ë¥Þ¥¨¥È¥ï¡¼¥ë,ÌÆ3,51.0,¿û¸¶ÌÀÎÉ,1:49.8,¥¯¥Ó,303.8,15.0,484(-4),[Åì] µÆÂôÎ´ÆÁ
12,4,7,¥­¥ó¥°¥ê¥­¥å¡¼¥ë,²´3,56.0,Ã°ÆâÍ´¼¡,1:50.1,2,291.9,14.0,446(-2),[Åì] Èø·ÁÏÂ¹¬
13,8,15,¥ß¥Õ¥ê¥Þ,ÌÆ3,54.0,É©ÅÄÍµÆó,1:50.1,¥Ï¥Ê,131.7,12.0,434(-4),[Åì] ËÜ´ÖÇ¦
14,6,11,¥¹¥ê¡¼¥ª¡¼¥é,ÌÆ3,54.0,Ä¹²¬Ä÷¿Î,1:50.5,2.1/2,637.9,16.0,430(+20),[Åì] ÊÁºê¹§
15,1,2,¥¨¥ó¥Ñ¥ï¡¼¥á¥ó¥È,¥»3,56.0,Âã¹°¿Í,1:50.9,2.1/2,99.1,11.0,426(+8),[Åì] ¹õ´äÍÛ°ì
16,2,3,¥´¡¼¥ë¥É¥¦¥¤¥¹¥Ñ¡¼,ÌÆ3,54.0,µÈÅÄÈ»¿Í,1:53.0,Âç,233.9,13.0,464(+2),[Åì] ÆîÅÄÈþÃÎ
1,7,7,¥¹¥Þ¡¼¥È¥«¡¼¥ê¡¼,ÌÆ2,54.0,ÉðË­,1:10.2,,4.2,3.0,466(0),[À¾] ¿Ü³­¾°²ð
2,8,8,¥Ê¥ê¥¿¥Ö¥ì¡¼¥É,²´2,54.0,´äÅÄ¹¯À¿,1:10.2,¥¯¥Ó,14.5,6.0,492(0),[À¾] ÃæÈø½¨Àµ
3,1,1,¥Þ¥¤¥ë¥Ý¥¹¥È,²´2,54.0,¥ë¥á¡¼¥ë,1:10.2,¥Ï¥Ê,3.5,1.0,508(0),[Åì] ¾®³ÞÎÑ¹°
4,3,3,¥ê¥å¥Ã¥«,ÌÆ2,53.0,ºä°æÎÜÀ±,1:10.4,1.1/4,6.3,4.0,400(0),[À¾] ¶¶¸ý¿µ²ð
5,6,6,¥á¥¤¥·¥ç¥¦¥Á¥¿¥ó,²´2,54.0,ËÌÂ¼Í§°ì,1:10.5,¥¯¥Ó,3.8,2.0,468(0),[À¾] ËÜÅÄÍ¥
6,5,5,¥¹¥È¥ì¥¬,ÌÆ2,54.0,¼Æ»³Íº°ì,1:10.7,1,116.5,9.0,456(0),[Åì] ÀõÌîÍÎ°ì
7,2,2,¥Ë¥·¥Î¥«¥Æ¥ê¡¼¥Ê,ÌÆ2,54.0,¾¡±ºÀµ¼ù,1:10.7,¥¯¥Ó,7.0,5.0,440(0),[Åì] °ËÆ£Âç»Î
